S No,Product Name,Category,Available Sizes,Description,Ingredients,Nutritional Information,Country of Origin,Storage Instructions,Benefits,Manufacturer Details,Pack Size,FSSAI Number,SKU Code
1,Pavithram Sesame Oil,Edible Oil,"200ml, 500ml, 1L, 2L,5L","Pavithram Sesame Oil is made from carefully selected sesame seeds and processed under strict quality standards to retain its natural aroma, flavour, and nutritional value. Ideal for traditional South Indian cooking, pickles, and everyday use.",100% Sesame Oil,"Energy: 884 kcal, Total Fat: 100g, Saturated Fat: 14g, Monounsaturated Fat: 40g, Polyunsaturated Fat: 42g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in natural antioxidants • Suitable for traditional cooking • Enhances flavour and aroma • Contains healthy fats • Ideal for pickles and South Indian dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",1 Litre,,
2,Pavithram roasted coconut oil,Edible Oil,"200ml, 500ml, 1L, 2L, 5L","Pavithram Coconut Oil is a premium-quality, 100% pure coconut oil. Naturally rich in nutrients and aroma, it is ideal for cooking, hair care, and skincare, offering purity and trusted quality .",100% Coconut Oil,"Energy: 897 kcal, Total Fat: 99.7g, Saturated Fat: 91.7g, Monounsaturated Fat: 6.3g, Polyunsaturated Fat: 1.8 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.","•Rich in natural healthy fats• Suitable for everyday cooking• Enhances flavour and aroma
• Supports traditional recipes","Pavithram Foods Pvt. Ltd., Kerala, India ",,,
3,Mustard oil,Edible Oil,"200ml, 400 ml , 500ml, 1L, 2L ,5L","Pavithram Mustard Oil is a premium, traditional cooking oil made from high-quality mustard seeds, offering a pungent aroma and sharp, authentic flavor",100% Mustard Oil,"Energy: 884 kcal, Total Fat: 100g, Saturated Fat: 11.6g, Monounsaturated Fat: 59.2g, Polyunsaturated Fat: 21.2g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",•Rich in natural antioxidants • Suitable for cooking and pickling • Enhances flavour and aroma • Contains healthy fats • Ideal for traditional Indian dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
4,Rice bran oil,Edible Oil,"200ml, 500ml, 1L, 2L","Pavithram Rice Bran Oil is a heart-healthy, physically refined cooking oil extracted from the nutrient-dense outer brown layer of rice (the bran). Known for its mild flavor and high smoke point.",100% Rice bran oil,"Energy: 900 kcal, Total Fat: 100g, Saturated Fat : 24g, Monounsaturated Fat: 42g, Polyunsaturated Fat: 34 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in antioxidants• Light and neutral taste• Contains healthy fats• Versatile for various dishes• Suitable for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
5,Cold pressed coconut oil,Edible Oil, 1L,"Pavithram Virgin Coconut Oil is  pure oil extracted from fresh coconut milk . Known for its mild, natural aroma and rich nutritional profile, it is widely used  for healthy cooking, massages, deep hair conditioning, and natural skin moisturizing.",100% Coconut Oil,"Energy: 897 kcal, Total Fat: 99.7g, Saturated Fat: 91.7g, Monounsaturated Fat: 6.3g, Polyunsaturated Fat: 1.8 g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Rich in natural antioxidants• Cold-pressed to retain purity• Contains healthy fats• Enhances flavour and aroma• Suitable for cooking and wellness use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
6,Groundnut oil,Edible Oil," 500ml, 1L","Pavithram Groundnut Oil is a premium, pure cooking oil extracted from high-quality, hand-picked groundnuts, it is a heart-healthy, cholesterol-free oil rich in monounsaturated fats and natural antioxidants",100% Groundnut  Oil,"Energy: 884 kcal, Total Fat: 99.7g, Saturated Fat: 24g, Monounsaturated Fat: 43g, Polyunsaturated Fat: 33g, Carbohydrates: 0g, Protein: 0g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",Naturally rich in healthy fats• Light and versatile for cooking• Adds a mild nutty flavour• Suitable for high-heat cooking• Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
7,Sunflower oil ,Edible Oil,"750ml, 2L, 5L",Pavithram Sunflower Oil is processed from quality sunflower seeds under strict quality standards to deliver a light taste and consistent quality. Suitable for everyday cooking and a variety of culinary applications.,Sunflower oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Light and versatile oil • Suitable for everyday cooking • Mild taste and aroma • Consistent quality • Ideal for various recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
8,Neem oil,Non edible oil,100 ml,Pavithram Neem Oil is prepared from quality neem seeds and processed to maintain its natural properties and purity. Suitable for traditional and external applications.,Neem oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Made from quality neem seeds • Traditional utility oil • Processed for purity  • Suitable for various applications,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
9,Eucalptus oil,Non edible oil,100 ml,Pavithram Eucalyptus Oil is extracted from quality eucalyptus leaves and processed under strict quality standards to ensure purity and freshness. Suitable for traditional and external use.,Eucalyptus oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",Refreshing natural aroma • Processed for purity • Easy to use • Traditional utility oil • Suitable for external applications,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
10,Cold pressed sesame oil,Edible Oil," 500ml, 1L",Pavithram Cold Pressed Sesame Oil is extracted from premium-quality sesame seeds using the cold-press method to retain its natural flavour and aroma. Ideal for traditional cooking and everyday use.,Sesame oil,,India,"Store in a cool, dry place away from direct sunlight. Keep container tightly closed after use.",• Cold pressed for natural goodness • Rich in natural antioxidants • Enhances flavour and aroma • Contains healthy fats • Ideal for traditional cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
